"vehicle_id","route_id","route_short_name","destination","x_lon","y_lat","captured_at_jst","current_status","stop_name"
"C263","078","錦25","葛西駅前","139.86792","35.699444","2026-05-08 11:25:58","IN_TRANSIT_TO","東小松川一丁目"
"K290","078","錦25","葛西駅前","139.872223","35.671341","2026-05-08 11:25:58","IN_TRANSIT_TO","葛西中学校前"
"E486","078","錦25","東小松川車庫前","139.869583","35.676926","2026-05-08 11:25:58","IN_TRANSIT_TO","船堀七丁目"
"C253","079","上26","上野公園","139.824615","35.701588","2026-05-08 11:25:58","IN_TRANSIT_TO","亀戸四丁目"
"E450","079","上26","亀戸駅前","139.771912","35.709785","2026-05-08 11:25:58","IN_TRANSIT_TO","上野公園"
"F671","081","秋26","秋葉原駅前","139.857986","35.669895","2026-05-08 11:25:58","IN_TRANSIT_TO","宇喜田"
"H982","081","秋26","秋葉原駅前","139.811646","35.682671","2026-05-08 11:25:58","IN_TRANSIT_TO","扇橋一丁目"
"B769","081","秋26","秋葉原駅前","139.777252","35.692238","2026-05-08 11:25:58","IN_TRANSIT_TO","岩本町一丁目"
"G718","081","秋26","葛西駅前","139.770813","35.696304","2026-05-08 11:25:58","IN_TRANSIT_TO","須田町"
"F669","081","秋26","葛西駅前","139.786835","35.687599","2026-05-08 11:25:58","IN_TRANSIT_TO","久松町"
"C275","081","秋26","葛西駅前","139.81929","35.682903","2026-05-08 11:25:58","IN_TRANSIT_TO","扇橋三丁目"
"B766","081","秋26","葛西駅前","139.854034","35.670708","2026-05-08 11:25:58","IN_TRANSIT_TO","葛西橋東詰"
"G785","082","亀26","亀戸駅前","139.83551","35.696972","2026-05-08 11:25:58","IN_TRANSIT_TO","亀戸七丁目"
